question_number,transcribed_text,normalized_mark
4,"The limit of detection (LOD) in a biosensor can be calculated using various methods, but common approach is based on statistical analysis. LOD's may be calculated based on the standard deviation of the response (Sy) of the curve and slope of the calibration curve (S) at levels. Ace to the formula - LOD = 3.3 (Sy/S). Steps to be followed are - 1) Collecting Data 2) Calculate the Mean and Standard deviation 3) Determine LOD. LOD = Mean of Baseline + (3x standard Deviation of Baseline) 4) Interpretation - LOD represents lowest conc of the analyte.",2
1,"Improving the sensitivity and specificity of colorimetric sensor for TMB in an enzymatic reaction, compared to traditional biosensors using HRP (Horseradish Peroxidase) can involve several strategies - 1) Enzyme Engineering: Engineer the enzyme (HRP) to enhance its catalytic activity & specificity for the target reaction (TMB oxidation) 2) Substrate optimization: Adjust the substrate concentration (TMB) to achieve optimal sensitivity & specificity. 3) Selective antibodies or ligands - It is induce to the sensor surface that can capture specific analytes & enhance specificity. 4) Signal Amplification 5) Calibration & Standardization 6) Surface functionalization. Advantages: 1) Enhance specificity 2) Enhance catalytic activity 3) Optimal sensitivity. 4) Capture specific analytes. Stability",2
2,Biofunctionalization of gold nanoparticles (AuNPs) involves the modifications of their surface with biologically active molecules to enable specific binding of target biomolecules. Functionalization Techniques: 1) Thiol Chemistry - Method where thiolated molecules are used to bind to the gold surface due to strong Au-S bond. 2) Layer by Layer Assembly - Alternate layers of oppositely charged polymers or biomolecules can be deposited. 3) Click chemistry 4) Physisorption. 2) Specificity: The specificity depends on choice of biomolecules used! 3) characterization & verification - Tech can be used to confirm biofunctionalization and specificity. Strategies: a) Recognition elements b) blocking agents.,2
3,"The physiochemical properties - 1) Size and surface area - Large nanoparticles provide more binding sites for antibodies, potentially increasing sensitivity. 2) Surface chemistry - Proper functionalization ensures strong antibody attachment and reduces non-specific binding. 3) Electrical conductivity - Improving sensitivity & detection limits. 4) Optical properties 5) Stability biocompatibility 6) Porosity and permeability.",2
4,"LOD also known as Limit of Detection, is an important parameter to study the graphical representation of a given dataset, and understand its extent of standard deviation with respect to the expected statistical trend. It can be calculated as: LOD = 3 x Standard deviation of lowest concentration / slope of the calibration line.",1.5
2,"Biofunctionalization of AuNPs (Gold nanoparticles) are due to their unique property of LSPR (Localized Surface Plasmon Resonance), in the visible spectrum during FRET (Fluorescence Resonance Energy Transfer). The specificity of AuNP depends on: (i) Concentration (Ratio). (ii) length between the 2 molecules. (iii) Size of the AuNP. Strategies: when delta G is -ve & entropy is low -> System is stable. Now, depending on the length of the cross linker between AuNP & CdSe (say); Eg: distance: close (AuNP & CdSe) = Quenching, 4nm: less Quenching, 6nm: Small enhancement, 10nm: enhancement. Size of AuNP: more: Quenching property predominates, less: no change/enhancement property.",1
1,"TMB -> colorless. TMB + H2O2 -> blue/yellow. TMB(colorless) --H2O2--> TMB(oxidated) [blue] is an example of enzymatic reaction that requires a catalyst Au-NP. (Reaction can be controlled, catalyst can be adjusted accordingly).",2
3,"Eg: Fe3O4 & Au-NP (make a sandwich). magnetically separate and add TMB. magnetic NP (MNP) -> extract/isolate the main antigen. coloration possible, since depends on Au-NP. So, if Antigen pr., the Au attaches & color seen. (:- +ve Result) and, Antigen = ab., then no Au binding, :- only MNP. (:- -ve Result). To determine the pr. of any particular antigen from a given sample (example), coloration property is the detecting parameter for the property of biosensing.",3
1,"Advancement of colorimetric biosensors of TMB oxidation via nanomaterials, over HRP based biosensor. a) [boxed: Enhanced sensitivity]: Nanoparticles can amplify the colorimetric signal significantly due to their high surface area and catalytic properties. The amplification allows for detection of lower concentrations of analytes, making biosensor more sensitive. TMB oxidation can produce more intense color change which is easily detectable. b) [boxed: Improved specificity]: Nanoparticles can be functionalised with specific ligands, antibodies, or aptamers that target particular biomolecules of interest. This functionalisation enhances the biosensors' specificity ensuring that it only reacts with the desired analyte. Advantages: i) Faster response time ii) Broader dynamic range iii) Reduced interference iv) wider pH range compatibility v) Reduced cross reactivity vi) Cost effective.",4
2,"The biofunctionalisation of gold nanoparticles (AuNPs) involves modifying their surface with biomolecules to enable specific binding with target molecules. It can be achieved via- i) Surface Modification: Functionalise AuNPs with thiolated (-SH) ligands via Au-S bonds. ii) Self assembly: (-SH) ligands self assemble on AuNP surface, forming a monolayer of biomolecules. iii) Cross linky: Adding linkers. Specificity in binding depends on choice of ligands, checking steric hindrance, surface density, etc. Strategies for enhanced specificity: i) Selective Biomolecule recognition ii) Optimise Binding conditions iii) Surface functionalisation iv) cross Validation v) Signal amplification vi) Pre treatment and sample preparation.",1
